product_category_name,year,month,total_sales
fashion_esporte,2017,9,624.0
alimentos_bebidas,2017,9,544.2
sinalizacao_e_seguranca,2017,9,533.4
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,9,464.09000000000003
fashion_roupa_feminina,2017,9,410.6
artigos_de_festas,2017,9,404.70000000000005
livros_importados,2017,9,393.0
artes,2017,9,388.53999999999996
bebidas,2017,9,343.46000000000004
construcao_ferramentas_jardim,2017,9,326.95
artigos_de_natal,2017,9,313.6
tablets_impressao_imagem,2017,9,233.9
construcao_ferramentas_iluminacao,2017,9,229.0
industria_comercio_e_negocios,2017,9,219.98
seguros_e_servicos,2017,9,100.0
fashion_roupa_infanto_juvenil,2017,9,89.99
moveis_colchao_e_estofado,2017,9,86.5
cine_foto,2017,9,69.0
dvds_blu_ray,2017,9,39.8
casa_conforto_2,2017,9,12.9
relogios_presentes,2017,10,68717.12000000005
informatica_acessorios,2017,10,61358.81000000005
cama_mesa_banho,2017,10,58936.28000000009
esporte_lazer,2017,10,53593.59000000007
cool_stuff,2017,10,48155.15000000007
beleza_saude,2017,10,43526.760000000024
pcs,2017,10,41830.92
moveis_decoracao,2017,10,40895.28000000003
brinquedos,2017,10,36215.09999999999
moveis_escritorio,2017,10,34868.91999999999
ferramentas_jardim,2017,10,33140.29000000002
telefonia,2017,10,25140.16999999998
automotivo,2017,10,23868.55999999999
,2017,10,21092.21
utilidades_domesticas,2017,10,19471.31999999998
perfumaria,2017,10,17598.819999999978
bebes,2017,10,17097.349999999984
consoles_games,2017,10,10926.469999999994
pet_shop,2017,10,9392.579999999998
papelaria,2017,10,9354.759999999998
fashion_bolsas_e_acessorios,2017,10,8965.449999999995
instrumentos_musicais,2017,10,7579.16
eletroportateis,2017,10,6591.120000000001
malas_acessorios,2017,10,6462.640000000001
casa_construcao,2017,10,4913.0599999999995
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,10,4040.6
eletronicos,2017,10,3974.760000000001
telefonia_fixa,2017,10,3890.88
casa_conforto,2017,10,3725.5
climatizacao,2017,10,3405.6800000000003
agro_industria_e_comercio,2017,10,3350.2799999999997
construcao_ferramentas_construcao,2017,10,3097.48
eletrodomesticos_2,2017,10,2803.17
alimentos_bebidas,2017,10,2564.79
construcao_ferramentas_seguranca,2017,10,2514.19
audio,2017,10,2348.48
industria_comercio_e_negocios,2017,10,2256.6900000000005
fashion_calcados,2017,10,2030.7200000000003
eletrodomesticos,2017,10,1951.0800000000002
moveis_sala,2017,10,1886.8700000000003
market_place,2017,10,1219.54
moveis_quarto,2017,10,1193.9
fashion_roupa_masculina,2017,10,1188.8
alimentos,2017,10,1113.41
construcao_ferramentas_ferramentas,2017,10,1018.5999999999999
livros_interesse_geral,2017,10,1004.5
construcao_ferramentas_jardim,2017,10,1001.9
livros_tecnicos,2017,10,880.0
sinalizacao_e_seguranca,2017,10,771.0
bebidas,2017,10,694.98
artigos_de_natal,2017,10,562.65
construcao_ferramentas_iluminacao,2017,10,500.0
artes,2017,10,349.05
dvds_blu_ray,2017,10,194.5
fashion_underwear_e_moda_praia,2017,10,187.8
artigos_de_festas,2017,10,137.8
la_cuisine,2017,10,137.0
casa_conforto_2,2017,10,103.20000000000002
tablets_impressao_imagem,2017,10,99.0
cine_foto,2017,10,69.0
fashion_esporte,2017,10,59.9
musica,2017,10,54.9
cds_dvds_musicais,2017,10,45.0
fashion_roupa_infanto_juvenil,2017,10,39.99
cama_mesa_banho,2017,11,108911.49000000035
relogios_presentes,2017,11,101957.29000000005
informatica_acessorios,2017,11,95127.00000000009
moveis_decoracao,2017,11,93947.04000000024
beleza_saude,2017,11,84148.24000000015
esporte_lazer,2017,11,70163.40000000017
brinquedos,2017,11,67809.60000000017
ferramentas_jardim,2017,11,59482.44000000011
cool_stuff,2017,11,59062.47000000012
utilidades_domesticas,2017,11,41702.87000000002
automotivo,2017,11,36879.320000000014
perfumaria,2017,11,32880.43000000003
telefonia,2017,11,29849.289999999994
agro_industria_e_comercio,2017,11,29166.989999999998
moveis_escritorio,2017,11,26677.219999999987
bebes,2017,11,22739.119999999974
papelaria,2017,11,17976.77999999999
instrumentos_musicais,2017,11,17177.399999999994
,2017,11,14861.909999999993
fashion_bolsas_e_acessorios,2017,11,14404.139999999992
pet_shop,2017,11,12926.889999999992
consoles_games,2017,11,12818.379999999994
eletronicos,2017,11,11745.429999999991
moveis_sala,2017,11,11208.59
pcs,2017,11,9768.0
malas_acessorios,2017,11,9238.64
construcao_ferramentas_construcao,2017,11,8526.15
eletroportateis,2017,11,7976.1
casa_conforto,2017,11,6485.090000000002
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,11,5690.1900000000005
casa_construcao,2017,11,5249.02
climatizacao,2017,11,5074.610000000001
eletrodomesticos_2,2017,11,4854.93
eletrodomesticos,2017,11,4515.9400000000005
construcao_ferramentas_seguranca,2017,11,4407.290000000001
audio,2017,11,3922.2000000000003
livros_interesse_geral,2017,11,2664.9600000000005
alimentos_bebidas,2017,11,2580.2700000000004
construcao_ferramentas_iluminacao,2017,11,2224.4700000000003
industria_comercio_e_negocios,2017,11,2074.7700000000004
fashion_calcados,2017,11,1898.5000000000002
market_place,2017,11,1666.98
artigos_de_natal,2017,11,1414.2799999999997
construcao_ferramentas_jardim,2017,11,1384.4499999999998
fashion_underwear_e_moda_praia,2017,11,1221.6
fashion_roupa_masculina,2017,11,1139.8899999999999
livros_tecnicos,2017,11,984.9
sinalizacao_e_seguranca,2017,11,950.79
telefonia_fixa,2017,11,943.98
bebidas,2017,11,929.4100000000001
moveis_quarto,2017,11,873.0
artigos_de_festas,2017,11,870.69
alimentos,2017,11,758.3700000000001
livros_importados,2017,11,433.0
tablets_impressao_imagem,2017,11,350.4
moveis_colchao_e_estofado,2017,11,334.0
construcao_ferramentas_ferramentas,2017,11,299.4
cine_foto,2017,11,242.0
cds_dvds_musicais,2017,11,195.0
flores,2017,11,187.8
la_cuisine,2017,11,137.0
fashion_roupa_feminina,2017,11,79.88
dvds_blu_ray,2017,11,79.78999999999999
artes,2017,11,75.0
fashion_esporte,2017,11,59.9
casa_conforto_2,2017,11,38.7
relogios_presentes,2017,12,73299.67000000007
esporte_lazer,2017,12,65784.1700000001
beleza_saude,2017,12,63896.56000000017
brinquedos,2017,12,59982.25000000015
cama_mesa_banho,2017,12,59305.750000000124
informatica_acessorios,2017,12,42986.37000000002
automotivo,2017,12,42364.57000000003
ferramentas_jardim,2017,12,40304.96000000001
cool_stuff,2017,12,40067.72000000003
